tx_id,blockID,addr_in,amount,addr_out
134886,181861,1AafX6sXLjX2hW6G1SjjCSGf85PpbzBGoc,0.0185,12K5SyY2Z3DNsqFtTCnyGC3J7jYTCjM54m
134887,181861,1HdsSJ5QtNp3s1qtfS3oWvd8x7PC4g6eSs,12.9186,18hV4i6WdKY8FMa8pqTPHVefeN8H7yckeD
134888,181861,1HdsSJ5QtNp3s1qtfS3oWvd8x7PC4g6eSs,0.5208,17JhBmofu1TmbEkJJKNnUrJR9CK3ty1Mma
134889,181876,189PXLmCBpy3GKD3SE941F41MfBMSfyr6y,0.7097,1JKBnFxooXU83WLqSctBKZoA6qSpgyYMZE
134890,181876,189PXLmCBpy3GKD3SE941F41MfBMSfyr6y,0.3505,1dice97ECuByXAvqXpaYzSaQuPVvrtmz6
134891,181916,1YS2LvsyC3e8SEDsum3pqLRC1RGWCtx9k,0.01,15KFUGPHf5R8tdtDH6QAKMVVYe74LDEPrk
134892,181916,1YS2LvsyC3e8SEDsum3pqLRC1RGWCtx9k,2.5273,19ngVyAav9JLE6gVfeQB6zgHEpTZhxJ2qJ
134893,181990,1PQHH6Esx7Ptzs9jzoWDit6yRoFP8Ld7Br,0.196,1DjekukAPcg6r4Ey9gBuZy7zdTf4g2vhgu
134894,181990,1PQHH6Esx7Ptzs9jzoWDit6yRoFP8Ld7Br,1.2343,1Sb9oSA4bkm7GxPWzubRKtqc4pFa1pf3D
134895,181995,1CzMWA3kbyodhcNSivisMqQh5dBRW93LgC,0.1055,1FaKpaeN8XZNJ8u4E2g2BH9RudW7Udjvaf
134896,181995,1CzMWA3kbyodhcNSivisMqQh5dBRW93LgC,0.0237,1dice7fUkz5h4z2wPc1wLMPWgB5mDwKDx
134897,181995,1dice7fUkz5h4z2wPc1wLMPWgB5mDwKDx,0.0197,1B8RJ3RVk5zRw5W9iJCF11EKN2XFSrgT1S
134898,181995,1dice7fUkz5h4z2wPc1wLMPWgB5mDwKDx,1,1D6nTZdRixt9UTTJH2PGP4TqHYicDT5mxD
134899,182058,13TDCL4nYYqQmuMLMaDPBqoEp7heJPiPdA,0.6502,1HzaFpCYuzuEq9ALogWVw7BG5rCCeT29PS
134900,182058,13TDCL4nYYqQmuMLMaDPBqoEp7heJPiPdA,0.0416,1dice97ECuByXAvqXpaYzSaQuPVvrtmz6
134901,182058,1HXXhkSrN8sCJSLxgz39hEC6K3bfaFUEE,0.01,1Nmjj852eU8gVTu5YsFF6VUyJmYzJXkafm
134902,182058,1HXXhkSrN8sCJSLxgz39hEC6K3bfaFUEE,0.0995,1HZK8q2RhY718CZee51D5v7xtiHp9T92pN
134903,182069,1JMhbispbYqMcw5CjBtvx8inWuNiiG9oFK,0.0102,15Vy3aY9AjiP9N2cUFBcier8XKztrQhcKy
134904,182069,1JMhbispbYqMcw5CjBtvx8inWuNiiG9oFK,0.3684,1dice97ECuByXAvqXpaYzSaQuPVvrtmz6
134905,182099,1GoCMTsknp5jZC29oE1j5WVUPuNVCS765t,284.2,19wUzEQxhAzwmKBYWEtuR9sjJQnMf4w8jV
134906,182099,1GoCMTsknp5jZC29oE1j5WVUPuNVCS765t,9.98,19BaiUtySdVX6FMpVFqvDyno7FuLMsKmQD
134907,182099,1JmMkdKNj84Y2B1tMBXqDauFoZW3EerS3F,0.1,1dice97ECuByXAvqXpaYzSaQuPVvrtmz6
134908,182099,1JmMkdKNj84Y2B1tMBXqDauFoZW3EerS3F,0.685,1DSnduiZb91sKf5jTxkTQFyBYXmjDraSFX
134909,182099,15FmvJz7yDUoigyEh68jik4LiXGouNV3vw,1.1785,14juqGtB2E4Xm18XoGnKpmbfRXFPZT1fx2
134910,182099,15FmvJz7yDUoigyEh68jik4LiXGouNV3vw,9.9042,19NmcoeHo2qwEFjQdUrbGuk34SU2fgfDeg
134911,182099,1Bk81d98nz4uPTWnvvJMR7Q2x5npxqRQgo,0.0388,1PxjgKhR17DW1sfRusond6BVVqwJXnmx9P
134912,182099,1Bk81d98nz4uPTWnvvJMR7Q2x5npxqRQgo,1.2883,1MBtmmai5T9kx5LxhkDPCybWXBLaYagFHu
134913,182099,1Fb2p3JCFaLScLChQN64FDGCdFx1hZJQVT,0.1471,12Q6uuri6UwwuA8hUUBPpYSd6mHN5NPiGp
134914,182099,1Fb2p3JCFaLScLChQN64FDGCdFx1hZJQVT,0.002,1dice7fUkz5h4z2wPc1wLMPWgB5mDwKDx
134915,182115,1PbADK3V1G7DX5riiMKgCfAZyCNvyiiUmL,2.886,12e31eAm3A9wR8B79R4quG9EARCBtfTBLE
134916,182115,1PbADK3V1G7DX5riiMKgCfAZyCNvyiiUmL,0.02,1dice97ECuByXAvqXpaYzSaQuPVvrtmz6
134917,182115,1PgrV94rKVWoCKFR9VPVa1THucjFEkDjHm,0.01,1AAK6d3HSuXCAf4S5JtX7SbKk72mvgnt5H
134918,182115,1PgrV94rKVWoCKFR9VPVa1THucjFEkDjHm,0.0751,1J15UnwBV2uQtgPpEcmaaEbysqtNBCqMGQ
134919,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,4.4011,1FLURSWGkN8bUuhqUC7NvsANGokDg6vpcC
134920,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,4.2069,1CR6w1iBVmcjEe46jd2reMsxiknnBFMvfd
134921,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,1.2559,1EsrvgJ3XLevMqQ8cCqsEsnVwM294nnvxQ
134922,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,1.2544,11PWgHwquJFpWC8aNYjmjHHJpXppJuBVC
134923,182126,1EKGMGUmVK4Mpbnnh3UysJvT3Z5fywrv5A,1.0929,1EidJ9FrQeXed5jGYsZRrmFFBgCJBU7qb3
